iter	Logloss
0	0.6695517279
1	0.6489768443
2	0.6273360732
3	0.6103192903
4	0.5923432772
5	0.5769017891
6	0.5633541927
7	0.5507760083
8	0.5392237738
9	0.5292695277
10	0.5187643923
11	0.5106070265
12	0.5017818462
13	0.4946083617
14	0.4870384431
15	0.480763972
16	0.4746861533
17	0.4687439557
18	0.4641822114
19	0.4595204757
20	0.455048064
21	0.4506628388
22	0.4460704262
23	0.4422881365
24	0.4388769683
25	0.435047136
26	0.4309929452
27	0.4283200228
28	0.4248423372
29	0.4217683502
30	0.4192403047
31	0.4162610804
32	0.4134733964
33	0.4112152801
34	0.4093509812
35	0.4066199331
36	0.4042871603
37	0.4020118972
38	0.4000689032
39	0.3979970481
40	0.3961951807
41	0.3943561102
42	0.3929787106
43	0.3914273364
44	0.3899139453
45	0.3881394526
46	0.3865598121
47	0.3850398111
48	0.3833357412
49	0.3817687264
50	0.380546393
51	0.3791893488
52	0.3777246403
53	0.3762886465
54	0.3749259107
55	0.3738782458
56	0.3727945855
57	0.3715493117
58	0.3704689524
59	0.3693958025
60	0.3683691625
61	0.3671585628
62	0.3660155096
63	0.3650848481
64	0.3639780695
65	0.3627927091
66	0.3618438571
67	0.3608883956
68	0.3600282485
69	0.3590070224
70	0.3577011225
71	0.3565180191
72	0.3556642999
73	0.3546545728
74	0.3537547067
75	0.3530550393
76	0.3522116904
77	0.3514596215
78	0.350795719
79	0.3500121061
80	0.3492084752
81	0.3482528374
82	0.3475477271
83	0.346800052
84	0.3460714894
85	0.3454621447
86	0.3446352454
87	0.3436814155
88	0.3430035788
89	0.3422850909
90	0.3413511296
91	0.3406571587
92	0.3396453354
93	0.3390903057
94	0.338363922
95	0.3377964359
96	0.3371398302
97	0.3363733324
98	0.3358407321
99	0.3350985066
100	0.3344655629
101	0.3338183521
102	0.3331762874
103	0.3324010831
104	0.3318364564
105	0.3313084351
106	0.3307587713
107	0.3302343441
108	0.3296968055
109	0.3288070077
110	0.328313252
111	0.3276843094
112	0.3270669622
113	0.3262504117
114	0.3253881304
115	0.3248643534
116	0.324316077
117	0.3238158794
118	0.3234094594
119	0.3228866881
120	0.3223018582
121	0.3216388564
122	0.3209530672
123	0.3204186656
124	0.3198517914
125	0.319330292
126	0.318919072
127	0.3180530413
128	0.3175958742
129	0.3171262902
130	0.3164141868
131	0.315946524
132	0.3153918236
133	0.3148615101
134	0.3143106803
135	0.313773209
136	0.3133146245
137	0.3128032699
138	0.3122651257
139	0.3118052005
140	0.3113731782
141	0.3109364521
142	0.3103666226
143	0.3098916818
144	0.3095622053
145	0.3091643833
146	0.3088524286
147	0.3082341897
148	0.3076049303
149	0.3072011372
150	0.3066794638
151	0.3062748573
152	0.3057416621
153	0.305195534
154	0.3048898048
155	0.3045173617
156	0.3038231958
157	0.3032663752
158	0.3028042191
159	0.302461937
160	0.3020721396
161	0.3016644987
162	0.301098837
163	0.3006746126
164	0.3003121539
165	0.2998945453
166	0.2993698472
167	0.2990055828
168	0.2985651583
169	0.2982448286
170	0.2978498277
171	0.2976062136
172	0.297003372
173	0.2966372907
174	0.2962902181
175	0.2956755576
176	0.2953059398
177	0.2949147717
178	0.2945761766
179	0.2941174318
180	0.2937428944
181	0.2934089429
182	0.2930437527
183	0.2926647942
184	0.2923773614
185	0.2920836519
186	0.2917385476
187	0.2914856883
188	0.2911793815
189	0.2908285671
190	0.2905570221
191	0.2900635286
192	0.2897727392
193	0.2893788315
194	0.2889523863
195	0.2885549878
196	0.2881522849
197	0.2876785395
198	0.2873088755
199	0.2868251225
200	0.2862310673
201	0.2858220689
202	0.2855636576
203	0.2851592145
204	0.2845477057
205	0.2842688
206	0.283931437
207	0.2835981023
208	0.2833285705
209	0.2829115742
210	0.2824961548
211	0.2821543244
212	0.2818406023
213	0.2815249759
214	0.281213599
215	0.2807914111
216	0.2804753502
217	0.2801355834
218	0.2798163553
219	0.2795585573
220	0.279195263
221	0.2787369663
222	0.2783993228
223	0.2779914893
224	0.2775534509
225	0.2772498489
226	0.2769808737
227	0.2766154684
228	0.2763463906
229	0.2761260019
230	0.2757405363
231	0.2754203174
232	0.275164607
233	0.2748505635
234	0.274564201
235	0.2742689584
236	0.2739447189
237	0.2736885415
238	0.2734235096
239	0.2729072471
240	0.2725760928
241	0.2722693457
242	0.2719612869
243	0.2714433907
244	0.2710934173
245	0.2707943234
246	0.2703780978
247	0.2700792323
248	0.269817394
249	0.2695801615
250	0.2693090845
251	0.2688869107
252	0.26850961
253	0.2682637367
254	0.2679421172
255	0.2676222449
256	0.2672524385
257	0.266940903
258	0.2665563157
259	0.2663161007
260	0.2660250544
261	0.2656838021
262	0.265347769
263	0.2650615054
264	0.2648050983
265	0.2645529713
266	0.2643410448
267	0.2639468663
268	0.263551679
269	0.2632622578
270	0.262928986
271	0.2627351732
272	0.2624247058
273	0.2620916729
274	0.261808863
275	0.2613944548
276	0.261182464
277	0.2608979463
278	0.2604578184
279	0.2602590737
280	0.2598825411
281	0.259634736
282	0.2592414564
283	0.2588950996
284	0.2586792816
285	0.2584673327
286	0.2581599353
287	0.2578892716
288	0.25756615
289	0.2572810105
290	0.256985475
291	0.256694123
292	0.2563586322
293	0.2559825434
294	0.2557959369
295	0.2554327576
296	0.2550236117
297	0.2547384827
298	0.2545561161
299	0.2541755132
300	0.2539201369
301	0.253629688
302	0.2532483694
303	0.252907173
304	0.2526601638
305	0.2524783403
306	0.2522024319
307	0.2520174773
308	0.2515589268
309	0.251155964
310	0.2509153709
311	0.2504564533
312	0.2501154694
